"","AbsoluteCS","Acceleration.forward","Acceleration.side","Acceleration.up","Rotation.roll","Rotation.pitch","Rotation.yaw","imuRotation.pitch","imuRotation.roll","imuRotation.yaw","RawPlayerLoad","SmoothedPlayerLoad"
"320",167277493927,-0.682924,-4.341964,-0.16939999,231.06801,45.323,-207.522,-185.4932,71.36669,-242.92197,1.2548828,1.4253467
"321",167277493928,-0.0242,-1.8266159,-0.264748,94.733,8.2960005,-121.634,-111.50069,18.36308,-105.20643,0.90771484,1.421572
"322",167277493929,-0.615164,-1.0769,0.861036,41.236,9.150001,-141.093,-112.74433,-32.621384,-88.97153,0.91308594,1.415652
"323",167277493930,-1.4457079,-0.301532,1.290828,4.087,20.557001,-122.183,-81.32387,-58.222107,-73.24341,1.0327148,1.4076188
"324",167277493931,-0.81553996,-0.106479995,1.2433959,-0.549,58.865,-102.907,-41.510674,-62.020348,-92.117195,0.50878906,1.3974806
"325",167277493932,-0.43172798,-0.530464,1.463132,13.115,73.200005,-69.967,-10.218843,-37.549408,-94.39938,0.31640625,1.385284
"326",167277493933,0.277816,-2.007148,0.090023994,18.544,70.15,-59.109,-8.194134,-25.803196,-89.58699,1.1191406,1.3710814
"327",167277493934,-0.101156,-2.742828,-0.27007198,14.945,34.953,-9.333,8.796982,1.0143137,-38.128128,0.9013672,1.3549454
"328",167277493935,-0.108416,-1.7937039,-0.275396,33.611,31.781,63.989002,60.704117,48.92318,-12.48435,0.2734375,1.336976
"329",167277493936,-0.381392,-0.676148,-0.022747999,70.76,61.549,64.66,68.369064,74.52994,-52.4131,0.6748047,1.317282
"330",167277493937,-1.324224,-0.250228,-0.23473999,96.868004,90.89,49.227,65.505226,81.491295,-95.5821,0.78466797,1.2959747
"331",167277493938,-1.50524,-0.293304,-0.426404,99.308,80.215004,30.317,43.38002,75.07417,-98.47685,0.45263672,1.2731487
"332",167277493939,-1.51008,-0.36009598,-0.272008,89.914,50.081,8.845,11.52865,62.83367,-81.17813,0.18701172,1.248912
"333",167277493940,-1.2719519,-0.548372,-0.41769198,75.884,20.496,-22.448,-26.008839,42.07148,-65.08388,0.10595703,1.2233646
"334",167277493941,-1.13014,-0.745844,-0.16310799,66.795,1.281,-35.38,-44.705666,32.846176,-51.35649,0.19384766,1.1965554
"335",167277493942,-1.042052,-0.93654,0.103092,54.412,-3.599,-35.197,-43.9569,24.479053,-41.00017,0.26611328,1.1685647
"336",167277493943,-1.012528,-1.121912,0.21538,41.968002,-6.527,-27.572,-36.52909,19.747477,-28.979177,0.23632812,1.1395301
"337",167277493944,-0.96412796,-0.998976,0.23812799,26.718,-14.884,-9.333,-23.72815,20.136158,-7.348476,0.099121094,1.109584
"338",167277493945,-0.84603196,-1.1983839,0.12826,13.969,-18.056,-17.69,-28.105766,6.5513263,-1.1109886,0.14404297,1.07885
"339",167277493946,-0.793276,-1.16402,0.146168,1.464,-25.742,1.281,-14.9095955,9.423947,18.850151,0.07714844,1.0474827
"340",167277493947,-0.729872,-1.054152,0.166496,-7.869,-27.755001,8.357,-7.9788933,6.6239767,28.187958,0.07763672,1.01564
